"TicketNumber","Summary","Status","Priority","ReportedBy","AssignedTo","ClosedAt","CreatedAt"
"TKT-0621","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-11T22:27:21Z"
"TKT-0622","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2014-06-30T15:57:21Z","2025-08-12T00:12:21Z"
"TKT-0623","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-08-12T01:57:21Z"
"TKT-0624","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-12T03:42:21Z"
"TKT-0625","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-12T05:27:21Z"
"TKT-0626","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2014-07-04T19:57:21Z","2025-08-12T07:12:21Z"
"TKT-0627","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-12T08:57:21Z"
"TKT-0628","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-12T10:42:21Z"
"TKT-0629","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-12T12:27:21Z"
"TKT-0630","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2014-07-07T23:57:21Z","2025-08-12T14:12:21Z"
"TKT-0631","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-12T15:57:21Z"
"TKT-0632","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-08-12T17:42:21Z"
"TKT-0633","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-08-12T19:27:21Z"
"TKT-0634","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2014-07-12T03:57:21Z","2025-08-12T21:12:21Z"
"TKT-0635","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-08-12T22:57:21Z"
"TKT-0636","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-13T00:42:21Z"
"TKT-0637","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-13T02:27:21Z"
"TKT-0638","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2014-07-16T07:57:21Z","2025-08-13T04:12:21Z"
"TKT-0639","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-08-13T05:57:21Z"
"TKT-0640","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-13T07:42:21Z"
"TKT-0641","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-13T09:27:21Z"
"TKT-0642","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2014-07-20T11:57:21Z","2025-08-13T11:12:21Z"
"TKT-0643","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-08-13T12:57:21Z"
"TKT-0644","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-13T14:42:21Z"
"TKT-0645","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-13T16:27:21Z"
"TKT-0646","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2014-07-24T15:57:21Z","2025-08-13T18:12:21Z"
"TKT-0647","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-13T19:57:21Z"
"TKT-0648","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-13T21:42:21Z"
"TKT-0649","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-13T23:27:21Z"
"TKT-0650","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2014-07-28T19:57:21Z","2025-08-14T01:12:21Z"
"TKT-0651","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-14T02:57:21Z"
"TKT-0652","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-08-14T04:42:21Z"
"TKT-0653","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-08-14T06:27:21Z"
"TKT-0654","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2014-07-31T23:57:21Z","2025-08-14T08:12:21Z"
"TKT-0655","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-08-14T09:57:21Z"
"TKT-0656","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-14T11:42:21Z"
"TKT-0657","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-14T13:27:21Z"
"TKT-0658","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2014-08-05T03:57:21Z","2025-08-14T15:12:21Z"
"TKT-0659","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-08-14T16:57:21Z"
"TKT-0660","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-14T18:42:21Z"
"TKT-0661","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-14T20:27:21Z"
"TKT-0662","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2014-08-09T07:57:21Z","2025-08-14T22:12:21Z"
"TKT-0663","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-08-14T23:57:21Z"
"TKT-0664","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-15T01:42:21Z"
"TKT-0665","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-15T03:27:21Z"
"TKT-0666","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2014-08-13T11:57:21Z","2025-08-15T05:12:21Z"
"TKT-0667","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-15T06:57:21Z"
"TKT-0668","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-15T08:42:21Z"
"TKT-0669","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-15T10:27:21Z"
"TKT-0670","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2014-08-17T15:57:21Z","2025-08-15T12:12:21Z"
"TKT-0671","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-15T13:57:21Z"
"TKT-0672","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-08-15T15:42:21Z"
"TKT-0673","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-08-15T17:27:21Z"
"TKT-0674","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2014-08-21T19:57:21Z","2025-08-15T19:12:21Z"
"TKT-0675","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-08-15T20:57:21Z"
"TKT-0676","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-15T22:42:21Z"
"TKT-0677","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-16T00:27:21Z"
"TKT-0678","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2014-08-24T23:57:21Z","2025-08-16T02:12:21Z"
"TKT-0679","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-08-16T03:57:21Z"
"TKT-0680","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-16T05:42:21Z"
"TKT-0681","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-16T07:27:21Z"
"TKT-0682","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2014-08-29T03:57:21Z","2025-08-16T09:12:21Z"
"TKT-0683","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-08-16T10:57:21Z"
"TKT-0684","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-16T12:42:21Z"
"TKT-0685","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-16T14:27:21Z"
"TKT-0686","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2014-09-02T07:57:21Z","2025-08-16T16:12:21Z"
"TKT-0687","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-16T17:57:21Z"
"TKT-0688","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-16T19:42:21Z"
"TKT-0689","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-16T21:27:21Z"
"TKT-0690","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2014-09-06T11:57:21Z","2025-08-16T23:12:21Z"
"TKT-0691","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-17T00:57:21Z"
"TKT-0692","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-08-17T02:42:21Z"
"TKT-0693","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-08-17T04:27:21Z"
"TKT-0694","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2014-09-10T15:57:21Z","2025-08-17T06:12:21Z"
"TKT-0695","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-08-17T07:57:21Z"
"TKT-0696","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-17T09:42:21Z"
"TKT-0697","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-17T11:27:21Z"
"TKT-0698","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2014-09-14T19:57:21Z","2025-08-17T13:12:21Z"
"TKT-0699","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-08-17T14:57:21Z"
"TKT-0700","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-17T16:42:21Z"
"TKT-0701","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-17T18:27:21Z"
"TKT-0702","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2014-09-17T23:57:21Z","2025-08-17T20:12:21Z"
"TKT-0703","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-08-17T21:57:21Z"
"TKT-0704","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-17T23:42:21Z"
"TKT-0705","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-18T01:27:21Z"
"TKT-0706","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2014-09-22T03:57:21Z","2025-08-18T03:12:21Z"
"TKT-0707","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-18T04:57:21Z"
"TKT-0708","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-18T06:42:21Z"
"TKT-0709","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-18T08:27:21Z"
"TKT-0710","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2014-09-26T07:57:21Z","2025-08-18T10:12:21Z"
"TKT-0711","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-18T11:57:21Z"
"TKT-0712","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-08-18T13:42:21Z"
"TKT-0713","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-08-18T15:27:21Z"
"TKT-0714","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2014-09-30T11:57:21Z","2025-08-18T17:12:21Z"
"TKT-0715","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-08-18T18:57:21Z"
"TKT-0716","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-18T20:42:21Z"
"TKT-0717","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-18T22:27:21Z"
"TKT-0718","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2014-10-04T15:57:21Z","2025-08-19T00:12:21Z"
"TKT-0719","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-08-19T01:57:21Z"
"TKT-0720","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-19T03:42:21Z"
"TKT-0721","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-19T05:27:21Z"
"TKT-0722","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2014-10-08T19:57:21Z","2025-08-19T07:12:21Z"
"TKT-0723","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-08-19T08:57:21Z"
"TKT-0724","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-19T10:42:21Z"
"TKT-0725","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-19T12:27:21Z"
"TKT-0726","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2014-10-11T23:57:21Z","2025-08-19T14:12:21Z"
"TKT-0727","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-19T15:57:21Z"
"TKT-0728","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-19T17:42:21Z"
"TKT-0729","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-19T19:27:21Z"
"TKT-0730","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2014-10-16T03:57:21Z","2025-08-19T21:12:21Z"
"TKT-0731","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-19T22:57:21Z"
"TKT-0732","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-08-20T00:42:21Z"
"TKT-0733","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-08-20T02:27:21Z"
"TKT-0734","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2014-10-20T07:57:21Z","2025-08-20T04:12:21Z"
"TKT-0735","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-08-20T05:57:21Z"
"TKT-0736","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-20T07:42:21Z"
"TKT-0737","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-20T09:27:21Z"
"TKT-0738","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2014-10-24T11:57:21Z","2025-08-20T11:12:21Z"
"TKT-0739","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-08-20T12:57:21Z"
"TKT-0740","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-20T14:42:21Z"
"TKT-0741","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-20T16:27:21Z"
"TKT-0742","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2014-10-28T15:57:21Z","2025-08-20T18:12:21Z"
"TKT-0743","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-08-20T19:57:21Z"
"TKT-0744","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-20T21:42:21Z"
"TKT-0745","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-20T23:27:21Z"
"TKT-0746","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2014-11-01T19:57:21Z","2025-08-21T01:12:21Z"
"TKT-0747","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-21T02:57:21Z"
"TKT-0748","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-21T04:42:21Z"
"TKT-0749","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-21T06:27:21Z"
"TKT-0750","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2014-11-04T23:57:21Z","2025-08-21T08:12:21Z"
"TKT-0751","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-21T09:57:21Z"
"TKT-0752","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-08-21T11:42:21Z"
"TKT-0753","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-08-21T13:27:21Z"
"TKT-0754","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2014-11-09T03:57:21Z","2025-08-21T15:12:21Z"
"TKT-0755","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-08-21T16:57:21Z"
"TKT-0756","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-21T18:42:21Z"
"TKT-0757","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-21T20:27:21Z"
"TKT-0758","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2014-11-13T07:57:21Z","2025-08-21T22:12:21Z"
"TKT-0759","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-08-21T23:57:21Z"
"TKT-0760","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-22T01:42:21Z"
"TKT-0761","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-22T03:27:21Z"
"TKT-0762","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2014-11-17T11:57:21Z","2025-08-22T05:12:21Z"
"TKT-0763","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-08-22T06:57:21Z"
"TKT-0764","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-22T08:42:21Z"
"TKT-0765","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-22T10:27:21Z"
"TKT-0766","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2014-11-21T15:57:21Z","2025-08-22T12:12:21Z"
"TKT-0767","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-22T13:57:21Z"
"TKT-0768","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-22T15:42:21Z"
"TKT-0769","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-22T17:27:21Z"
"TKT-0770","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2014-11-25T19:57:21Z","2025-08-22T19:12:21Z"
"TKT-0771","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-22T20:57:21Z"
"TKT-0772","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-08-22T22:42:21Z"
"TKT-0773","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-08-23T00:27:21Z"
"TKT-0774","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2014-11-28T23:57:21Z","2025-08-23T02:12:21Z"
"TKT-0775","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-08-23T03:57:21Z"
"TKT-0776","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-23T05:42:21Z"
"TKT-0777","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-23T07:27:21Z"
"TKT-0778","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2014-12-03T03:57:21Z","2025-08-23T09:12:21Z"
"TKT-0779","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-08-23T10:57:21Z"
"TKT-0780","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-23T12:42:21Z"
"TKT-0781","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-23T14:27:21Z"
"TKT-0782","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2014-12-07T07:57:21Z","2025-08-23T16:12:21Z"
"TKT-0783","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-08-23T17:57:21Z"
"TKT-0784","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-23T19:42:21Z"
"TKT-0785","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-23T21:27:21Z"
"TKT-0786","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2014-12-11T11:57:21Z","2025-08-23T23:12:21Z"
"TKT-0787","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-24T00:57:21Z"
"TKT-0788","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-24T02:42:21Z"
"TKT-0789","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-24T04:27:21Z"
"TKT-0790","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2014-12-15T15:57:21Z","2025-08-24T06:12:21Z"
"TKT-0791","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-24T07:57:21Z"
"TKT-0792","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-08-24T09:42:21Z"
"TKT-0793","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-08-24T11:27:21Z"
"TKT-0794","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2014-12-19T19:57:21Z","2025-08-24T13:12:21Z"
"TKT-0795","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-08-24T14:57:21Z"
"TKT-0796","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-24T16:42:21Z"
"TKT-0797","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-24T18:27:21Z"
"TKT-0798","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2014-12-22T23:57:21Z","2025-08-24T20:12:21Z"
"TKT-0799","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-08-24T21:57:21Z"
"TKT-0800","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-24T23:42:21Z"
"TKT-0801","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-25T01:27:21Z"
"TKT-0802","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2014-12-27T03:57:21Z","2025-08-25T03:12:21Z"
"TKT-0803","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-08-25T04:57:21Z"
"TKT-0804","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-25T06:42:21Z"
"TKT-0805","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-25T08:27:21Z"
"TKT-0806","Performance regression in Admin","Closed","Low","Alice J. Smith","Administrator","2014-12-31T07:57:21Z","2025-08-25T10:12:21Z"
"TKT-0807","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-25T11:57:21Z"
"TKT-0808","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-25T13:42:21Z"
"TKT-0809","Pagination skips records in Tickets","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-25T15:27:21Z"
"TKT-0810","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2015-01-04T11:57:21Z","2025-08-25T17:12:21Z"
"TKT-0811","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-25T18:57:21Z"
"TKT-0812","Session timeout too aggressive in Reports","In Progress","High","Alice J. Smith","Administrator","","2025-08-25T20:42:21Z"
"TKT-0813","Dark mode toggle broken on Windows 11","Blocked","Medium","Administrator","","","2025-08-25T22:27:21Z"
"TKT-0814","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2015-01-08T15:57:21Z","2025-08-26T00:12:21Z"
"TKT-0815","Bulk delete removes wrong records in Billing","Open","Critical","Administrator","Alice J. Smith","","2025-08-26T01:57:21Z"
"TKT-0816","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-26T03:42:21Z"
"TKT-0817","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-26T05:27:21Z"
"TKT-0818","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2015-01-12T19:57:21Z","2025-08-26T07:12:21Z"
"TKT-0819","Two-factor auth bypass on iOS 17","Open","Critical","Administrator","Alice J. Smith","","2025-08-26T08:57:21Z"
"TKT-0820","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-26T10:42:21Z"
"TKT-0821","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-26T12:27:21Z"
"TKT-0822","Filter resets on page refresh in Admin","Closed","Low","Alice J. Smith","Administrator","2015-01-15T23:57:21Z","2025-08-26T14:12:21Z"
"TKT-0823","Login page crashes on Firefox","Open","Critical","Administrator","","","2025-08-26T15:57:21Z"
"TKT-0824","Cannot export CSV report","In Progress","High","Alice J. Smith","Administrator","","2025-08-26T17:42:21Z"
"TKT-0825","Search returns no results for crash","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-26T19:27:21Z"
"TKT-0826","Performance regression in Search","Closed","Low","Alice J. Smith","Administrator","2015-01-20T03:57:21Z","2025-08-26T21:12:21Z"
"TKT-0827","UI alignment broken on Firefox 120","Open","Critical","Administrator","Alice J. Smith","","2025-08-26T22:57:21Z"
"TKT-0828","API returns 500 on /api/v1/users","In Progress","High","Alice J. Smith","","","2025-08-27T00:42:21Z"
"TKT-0829","Pagination skips records in Settings","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-27T02:27:21Z"
"TKT-0830","Notification emails not sent for assignment","Closed","Low","Alice J. Smith","Administrator","2015-01-24T07:57:21Z","2025-08-27T04:12:21Z"
"TKT-0831","File upload fails for JSON files","Open","Critical","Administrator","Alice J. Smith","","2025-08-27T05:57:21Z"
"TKT-0832","Session timeout too aggressive in Users","In Progress","High","Alice J. Smith","Administrator","","2025-08-27T07:42:21Z"
"TKT-0833","Dark mode toggle broken on Safari","Blocked","Medium","Administrator","","","2025-08-27T09:27:21Z"
"TKT-0834","Dropdown values not saved in Report Builder","Closed","Low","Alice J. Smith","Administrator","2015-01-28T11:57:21Z","2025-08-27T11:12:21Z"
"TKT-0835","Bulk delete removes wrong records in Dashboard","Open","Critical","Administrator","Alice J. Smith","","2025-08-27T12:57:21Z"
"TKT-0836","Date picker shows wrong timezone for UTC-8","In Progress","High","Alice J. Smith","Administrator","","2025-08-27T14:42:21Z"
"TKT-0837","CSV import fails on XML encoding","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-27T16:27:21Z"
"TKT-0838","Password reset link expires too quickly","Closed","Low","Alice J. Smith","","2015-02-01T15:57:21Z","2025-08-27T18:12:21Z"
"TKT-0839","Two-factor auth bypass on Firefox","Open","Critical","Administrator","Alice J. Smith","","2025-08-27T19:57:21Z"
"TKT-0840","Graph renders blank after assignment","In Progress","High","Alice J. Smith","Administrator","","2025-08-27T21:42:21Z"
"TKT-0841","Sort order wrong for Status column","Blocked","Medium","Administrator","Alice J. Smith","","2025-08-27T23:27:21Z"
"TKT-0842","Filter resets on page refresh in Search","Closed","Low","Alice J. Smith","Administrator","2015-02-05T19:57:21Z","2025-08-28T01:12:21Z"
"TKT-0843","Login page crashes on iOS 17","Open","Critical","Administrator","","","2025-08-28T02:57:21Z"
